Year,Mo,Dy,tave,tmax,tmin,vp,rhmax,rhmin,pp,gust
2000,2,26,5.088,10.64,-0.46299999999999997,0.226,0.41,0.109,0.0,9.055
2000,2,27,5.332000000000001,14.905999999999999,-4.243,0.39,0.672,0.204,0.0,6.252000000000001
2000,2,28,8.049,19.162,-3.0639999999999996,0.484,0.779,0.12300000000000001,0.0,11.27
2000,2,29,8.006,14.115,1.8969999999999998,0.44799999999999995,0.634,0.203,0.0,7.566
2000,3,1,5.981,13.655,-1.694,0.39799999999999996,0.684,0.17,0.0,6.978
2000,3,2,5.8260000000000005,8.879,2.7739999999999996,0.629,0.9109999999999999,0.452,0.0,7.801
2000,3,3,6.3020000000000005,15.189,-2.5860000000000003,0.604,1.021,0.24600000000000002,0.0,5.957999999999999
2000,3,4,7.4510000000000005,18.417,-3.516,0.512,0.851,0.142,0.0,6.428999999999999
2000,3,5,8.521,18.139,-1.097,0.521,0.74,0.2,0.0,19.953
2000,3,6,9.677999999999999,16.773,2.582,0.42100000000000004,0.545,0.158,0.0,7.311
2000,3,7,8.066,14.27,1.8630000000000002,0.616,0.8240000000000001,0.321,0.0,16.386
2000,3,8,6.053,13.314,-1.208,0.45799999999999996,0.831,0.14800000000000002,0.0,16.17
2000,3,9,-0.858,1.025,-2.74,0.513,0.976,0.8140000000000001,0.0,7.252000000000001
2000,3,10,3.638,8.355,-1.079,0.507,0.99,0.292,0.0,10.29
2000,3,11,3.67,12.834000000000001,-5.492999999999999,0.42100000000000004,0.843,0.21899999999999997,0.0,12.132
2000,3,12,4.761,9.197000000000001,0.325,0.444,0.6920000000000001,0.34600000000000003,0.0,7.624
2000,3,13,3.455,11.908,-4.998,0.424,0.8490000000000001,0.23600000000000002,0.0,6.644
2000,3,14,6.282,15.370999999999999,-2.807,0.491,0.86,0.172,0.0,14.034
2000,3,15,3.057,9.536,-3.423,0.528,1.018,0.371,0.0,9.741
2000,3,16,-0.512,3.5069999999999997,-4.531000000000001,0.465,1.011,0.5710000000000001,0.0,5.606
2000,3,17,1.1540000000000001,8.258,-5.95,0.456,0.98,0.395,0.0,6.664
2000,3,18,2.8360000000000003,7.14,-1.4680000000000002,0.381,0.7070000000000001,0.314,0.0,11.584000000000001
2000,3,19,4.5169999999999995,13.168,-4.1339999999999995,0.503,0.8290000000000001,0.366,0.0,3.8810000000000002
2000,3,20,3.037,9.084,-3.009,0.551,1.011,0.44,0.0,12.407
2000,3,21,-0.556,2.0980000000000003,-3.2089999999999996,0.513,1.012,0.7390000000000001,0.0,6.056
2000,3,22,3.87,8.994,-1.254,0.5670000000000001,0.968,0.439,0.0,7.702999999999999
2000,3,23,8.696,18.488,-1.0959999999999999,0.659,0.988,0.185,0.0,11.720999999999998
2000,3,24,8.193999999999999,15.742,0.647,0.573,0.8370000000000001,0.22,0.0,10.152999999999999
2000,3,25,8.015,16.803,-0.774,0.531,0.765,0.226,0.0,11.309000000000001
2000,3,26,12.008,18.804000000000002,5.212000000000001,0.594,0.688,0.159,0.0,17.111
